COMPANY_ID,COMPANY_NAME,CHINESE_NAME,ACTIVE_INACTIVE,BUSINESS_TYPE,PRC_HOME_BASE,GOV_COMPLICITY,evidence_score,substance_score,company_tag_score,total_score_v2,legacy_score,evidence_count,substances_linked
1,Harbor Batch Bakery,,Active,Bakery,Midwest,Retail bakery,206,171,10,276,216,9,7
2,Maple & Main Cookie Co.,,Active,Bakery,Northeast,Neighborhood bakery,179,135,0,226,179,7,5
11,Golden Crate Logistics,,Active,Distributor,National,Wholesale distributor,153,98,0,187,153,5,5
3,Bluebird Oven Foods,,Active,Bakery,Pacific Northwest,Regional bakery,123,90,10,164,133,5,4
4,Seaside Biscuit Works,,Active,Bakery,Southeast,Coastal bakery,117,99,0,152,117,5,5
5,Golden Grain Supply,,Active,Ingredient Supplier,Great Lakes,Flour supplier,51,41,0,65,51,2,2
7,Northwind Butter Works,,Active,Ingredient Supplier,Wisconsin,Butter producer,29,20,7,43,36,1,1
8,Cacao Coast Ingredients,,Active,Ingredient Supplier,West Coast,Chocolate supplier,26,22,0,34,26,1,1
9,Clover Cane Sugars,,Active,Ingredient Supplier,Gulf Coast,Sugar supplier,23,18,0,29,23,1,1
6,Orchard Vanilla Imports,,Active,Ingredient Supplier,East Coast,Vanilla importer,22,16,0,28,22,1,1
10,Meadow Oat Collective,,Active,Ingredient Supplier,Upper Midwest,Oat supplier,20,14,0,25,20,1,1
12,CertiBake Registry,,Active,Source Entity,National,Public claims registry,0,0,6,6,6,0,0
