CONSOLIDATED_COMPANY_ID,CONSOLIDATED_NAME,COMPANY_NAME,COMPANY_ID
1,Bakehouse Collective,Harbor Batch Bakery,1
2,Bakehouse Collective,Maple & Main Cookie Co.,2
3,Bakehouse Collective,Copper Kettle Kitchen,10
4,Bakehouse Collective,Bluebird Oven Foods,11
5,Bakehouse Collective,Seaside Biscuit Works,12
6,Pantry Inputs Cooperative,Sunfield Flour Mills,3
7,Pantry Inputs Cooperative,Orchard Vanilla Imports,4
8,Pantry Inputs Cooperative,Northwind Butter Works,5
9,Pantry Inputs Cooperative,Cacao Coast Ingredients,6
10,Pantry Inputs Cooperative,Clover Cane Sugars,9
11,Packing & Fulfillment Partners,Spruce Street Packing,7
12,Packing & Fulfillment Partners,Golden Crate Logistics,8
