DATA_SOURCE_ID,DATA_SOURCE_NAME,DATA_SOURCE_TYPE,URL,DATE_LOGGED,PARENT_DATA_SOURCE_ID,SCRAPE_RUN_ID,SOURCE_PLATFORM,OBSERVED_AT,FIRST_SEEN_AT,LAST_SEEN_AT
1,Harbor Batch spring cookie board,bakery_menu,https://cookie-demo.example/bakeryboard/harbor-batch-spring-board,2026-04-01,,2026-04-01_bakeryboard,BakeryBoard,2026-04-01,2026-04-01,2026-04-01
2,Maple & Main cookie board,bakery_menu,https://cookie-demo.example/bakeryboard/maple-main-cookie-board,2026-04-01,,2026-04-01_bakeryboard,BakeryBoard,2026-04-01,2026-04-01,2026-04-01
3,Bluebird oatmeal board,bakery_menu,https://cookie-demo.example/bakeryboard/bluebird-oatmeal-board,2026-04-01,,2026-04-01_bakeryboard,BakeryBoard,2026-04-01,2026-04-01,2026-04-01
4,Golden Grain Supply catalog,supplier_catalog,https://cookie-demo.example/ingredienthub/golden-grain-catalog,2026-04-15,,2026-04-15_ingredienthub,IngredientHub,2026-04-15,2026-04-15,2026-04-15
5,Orchard Vanilla Imports catalog,supplier_catalog,https://cookie-demo.example/ingredienthub/orchard-vanilla-catalog,2026-04-15,,2026-04-15_ingredienthub,IngredientHub,2026-04-15,2026-04-15,2026-04-15
6,Cacao Coast ingredients catalog,supplier_catalog,https://cookie-demo.example/ingredienthub/cacao-coast-catalog,2026-04-15,,2026-04-15_ingredienthub,IngredientHub,2026-04-15,2026-04-15,2026-04-15
7,Northwind butter sheet,ingredient_sheet,https://cookie-demo.example/ingredienthub/northwind-butter-sheet,2026-04-15,,2026-04-15_ingredienthub,IngredientHub,2026-04-15,2026-04-15,2026-04-15
8,Clover Cane sugars catalog,supplier_catalog,https://cookie-demo.example/ingredienthub/clover-cane-catalog,2026-04-15,,2026-04-15_ingredienthub,IngredientHub,2026-04-15,2026-04-15,2026-04-15
9,Meadow Oat Collective catalog,supplier_catalog,https://cookie-demo.example/ingredienthub/meadow-oat-catalog,2026-04-15,,2026-04-15_ingredienthub,IngredientHub,2026-04-15,2026-04-15,2026-04-15
10,WholesaleCrumb route sheet,distributor_listing,https://cookie-demo.example/wholesalecrumb/route-sheet,2026-05-01,,2026-05-01_wholesalecrumb,WholesaleCrumb,2026-05-01,2026-05-01,2026-05-01
11,CertiBake public claims registry,claims_registry,https://cookie-demo.example/certibake/public-claims,2026-05-20,,2026-05-20_certibake_registry,CertiBake Registry,2026-05-20,2026-05-20,2026-05-20
12,CertiBake allergen notes registry,claims_registry,https://cookie-demo.example/certibake/allergen-notes,2026-05-20,,2026-05-20_certibake_registry,CertiBake Registry,2026-05-20,2026-05-20,2026-05-20
13,Harbor Batch refresh board,bakery_menu,https://cookie-demo.example/bakeryboard/harbor-batch-refresh-board,2026-06-10,1,2026-06-10_bakeryboard_refresh,BakeryBoard Refresh,2026-06-10,2026-06-10,2026-06-10
14,Seaside Biscuit Works menu board,bakery_menu,https://cookie-demo.example/bakeryboard/seaside-biscuit-board,2026-06-10,,2026-06-10_bakeryboard_refresh,BakeryBoard Refresh,2026-06-10,2026-06-10,2026-06-10
