COMPANY_ID,SUBSTANCE_REFERENCE_ID,EVIDENCE_TYPE_ID,evidence_count,total_weight
1,1,3,1,31
1,2,1,1,21
1,3,2,1,25
1,4,3,1,22
1,5,1,1,25
1,6,2,1,13
2,1,3,1,32
2,2,1,1,22
2,3,2,1,26
2,4,3,1,23
2,5,1,1,26
2,8,2,1,17
3,1,1,1,26
3,9,2,1,21
4,4,5,1,26
5,3,2,1,26
6,5,5,1,32
6,6,1,1,10
6,8,5,1,21
7,5,4,1,31
7,6,4,1,17
8,1,4,1,34
8,5,4,1,32
8,10,4,1,23
9,2,1,1,20
9,10,1,1,15
10,1,3,1,31
10,2,4,1,27
10,3,3,1,27
10,5,4,1,31
10,10,3,1,20
11,1,3,1,32
11,4,1,1,19
11,7,3,1,22
11,8,1,1,15
11,9,3,1,25
12,1,3,1,30
12,2,4,1,26
12,3,3,1,26
12,4,4,1,23
12,5,3,1,28
12,7,4,1,22
