SUBSTANCE_REFERENCE_ID,DATA_SOURCE_NAME,DATA_SOURCE_TYPE,mention_count
1,Bluebird oatmeal board,bakery_menu,1
1,CertiBake public claims registry,claims_registry,1
1,Golden Grain Supply catalog,supplier_catalog,1
1,Harbor Batch refresh board,bakery_menu,1
1,Harbor Batch spring cookie board,bakery_menu,1
1,Maple & Main cookie board,bakery_menu,1
1,Seaside Biscuit Works menu board,bakery_menu,1
1,WholesaleCrumb route sheet,distributor_listing,1
2,Harbor Batch spring cookie board,bakery_menu,1
2,Orchard Vanilla Imports catalog,supplier_catalog,1
2,Seaside Biscuit Works menu board,bakery_menu,1
3,Cacao Coast ingredients catalog,supplier_catalog,1
3,CertiBake public claims registry,claims_registry,1
3,Harbor Batch spring cookie board,bakery_menu,1
3,Maple & Main cookie board,bakery_menu,1
3,Seaside Biscuit Works menu board,bakery_menu,1
3,WholesaleCrumb route sheet,distributor_listing,1
4,Bluebird oatmeal board,bakery_menu,1
4,CertiBake allergen notes registry,claims_registry,1
4,Harbor Batch spring cookie board,bakery_menu,1
4,Maple & Main cookie board,bakery_menu,1
4,Northwind butter sheet,ingredient_sheet,1
4,Seaside Biscuit Works menu board,bakery_menu,1
4,WholesaleCrumb route sheet,distributor_listing,1
5,Bluebird oatmeal board,bakery_menu,1
5,Clover Cane sugars catalog,supplier_catalog,1
5,Harbor Batch spring cookie board,bakery_menu,1
5,Maple & Main cookie board,bakery_menu,1
5,WholesaleCrumb route sheet,distributor_listing,1
6,Bluebird oatmeal board,bakery_menu,1
6,CertiBake public claims registry,claims_registry,1
6,Harbor Batch refresh board,bakery_menu,1
6,Meadow Oat Collective catalog,supplier_catalog,1
6,WholesaleCrumb route sheet,distributor_listing,1
7,Harbor Batch refresh board,bakery_menu,1
7,Maple & Main cookie board,bakery_menu,1
8,CertiBake allergen notes registry,claims_registry,1
8,Golden Grain Supply catalog,supplier_catalog,1
