company_name,source_platform,source_url,scrape_run_id,observed_at,evidence_type,record_id,date_logged,ingredient_name,observed_text
Harbor Batch Bakery,BakeryBoard,https://cookie-demo.example/bakeryboard/harbor-batch-spring-board,2026-04-01_bakeryboard,2026-04-01,Bakery menu,scrape-and-bake-2026-04-01_bakeryboard-01-01-001,2026-04-01,All-purpose flour,all-purpose flour
Harbor Batch Bakery,BakeryBoard,https://cookie-demo.example/bakeryboard/harbor-batch-spring-board,2026-04-01_bakeryboard,2026-04-01,Bakery menu,scrape-and-bake-2026-04-01_bakeryboard-01-04-002,2026-04-01,Cultured butter,cultured butter
Harbor Batch Bakery,BakeryBoard,https://cookie-demo.example/bakeryboard/harbor-batch-spring-board,2026-04-01_bakeryboard,2026-04-01,Bakery menu,scrape-and-bake-2026-04-01_bakeryboard-01-03-003,2026-04-01,Semisweet chocolate chips,semisweet chocolate chips
Harbor Batch Bakery,BakeryBoard,https://cookie-demo.example/bakeryboard/harbor-batch-spring-board,2026-04-01_bakeryboard,2026-04-01,Bakery menu,scrape-and-bake-2026-04-01_bakeryboard-01-02-004,2026-04-01,Madagascar vanilla extract,Madagascar vanilla
Harbor Batch Bakery,BakeryBoard,https://cookie-demo.example/bakeryboard/harbor-batch-spring-board,2026-04-01_bakeryboard,2026-04-01,Bakery menu,scrape-and-bake-2026-04-01_bakeryboard-01-05-005,2026-04-01,Brown sugar,brown sugar
Maple & Main Cookie Co.,BakeryBoard,https://cookie-demo.example/bakeryboard/maple-main-cookie-board,2026-04-01_bakeryboard,2026-04-01,Bakery menu,scrape-and-bake-2026-04-01_bakeryboard-02-01-006,2026-04-01,All-purpose flour,all-purpose flour
Maple & Main Cookie Co.,BakeryBoard,https://cookie-demo.example/bakeryboard/maple-main-cookie-board,2026-04-01_bakeryboard,2026-04-01,Bakery menu,scrape-and-bake-2026-04-01_bakeryboard-02-04-007,2026-04-01,Cultured butter,cultured butter
Maple & Main Cookie Co.,BakeryBoard,https://cookie-demo.example/bakeryboard/maple-main-cookie-board,2026-04-01_bakeryboard,2026-04-01,Bakery menu,scrape-and-bake-2026-04-01_bakeryboard-02-03-008,2026-04-01,Semisweet chocolate chips,semisweet chocolate chips
Maple & Main Cookie Co.,BakeryBoard,https://cookie-demo.example/bakeryboard/maple-main-cookie-board,2026-04-01_bakeryboard,2026-04-01,Bakery menu,scrape-and-bake-2026-04-01_bakeryboard-02-05-009,2026-04-01,Brown sugar,brown sugar
Maple & Main Cookie Co.,BakeryBoard,https://cookie-demo.example/bakeryboard/maple-main-cookie-board,2026-04-01_bakeryboard,2026-04-01,Bakery menu,scrape-and-bake-2026-04-01_bakeryboard-02-07-010,2026-04-01,Sea salt,sea salt finish
Bluebird Oven Foods,BakeryBoard,https://cookie-demo.example/bakeryboard/bluebird-oatmeal-board,2026-04-01_bakeryboard,2026-04-01,Bakery menu,scrape-and-bake-2026-04-01_bakeryboard-03-01-011,2026-04-01,All-purpose flour,all-purpose flour
Bluebird Oven Foods,BakeryBoard,https://cookie-demo.example/bakeryboard/bluebird-oatmeal-board,2026-04-01_bakeryboard,2026-04-01,Bakery menu,scrape-and-bake-2026-04-01_bakeryboard-03-06-012,2026-04-01,Rolled oats,rolled oats
Bluebird Oven Foods,BakeryBoard,https://cookie-demo.example/bakeryboard/bluebird-oatmeal-board,2026-04-01_bakeryboard,2026-04-01,Bakery menu,scrape-and-bake-2026-04-01_bakeryboard-03-04-013,2026-04-01,Cultured butter,cultured butter
Bluebird Oven Foods,BakeryBoard,https://cookie-demo.example/bakeryboard/bluebird-oatmeal-board,2026-04-01_bakeryboard,2026-04-01,Bakery menu,scrape-and-bake-2026-04-01_bakeryboard-03-05-014,2026-04-01,Brown sugar,brown sugar
