company_name,source_url,scrape_run_id,evidence_type,record_id,date_logged,data_source_name,data_source_type,ingredient_name,observed_text
King Arthur Baking Company,https://www.kingarthurbaking.com/recipes/classic-chocolate-chip-cookies-recipe,cookie-demo-scrape-20260703T170850Z,Bakery menu,cookie-scrape-01-01-all-purpose-flour,2026-07-03,King Arthur classic chocolate chip cookies recipe,recipe_page,All-purpose flour,all-purpose flour
King Arthur Baking Company,https://www.kingarthurbaking.com/recipes/classic-chocolate-chip-cookies-recipe,cookie-demo-scrape-20260703T170850Z,Bakery menu,cookie-scrape-01-02-brown-sugar,2026-07-03,King Arthur classic chocolate chip cookies recipe,recipe_page,Brown sugar,brown sugar
King Arthur Baking Company,https://www.kingarthurbaking.com/recipes/classic-chocolate-chip-cookies-recipe,cookie-demo-scrape-20260703T170850Z,Bakery menu,cookie-scrape-01-03-cultured-butter,2026-07-03,King Arthur classic chocolate chip cookies recipe,recipe_page,Cultured butter,butter
King Arthur Baking Company,https://www.kingarthurbaking.com/recipes/classic-chocolate-chip-cookies-recipe,cookie-demo-scrape-20260703T170850Z,Bakery menu,cookie-scrape-01-04-semisweet-chocolate-chips,2026-07-03,King Arthur classic chocolate chip cookies recipe,recipe_page,Semisweet chocolate chips,semisweet chocolate chips
King Arthur Baking Company,https://www.kingarthurbaking.com/recipes/classic-chocolate-chip-cookies-recipe,cookie-demo-scrape-20260703T170850Z,Bakery menu,cookie-scrape-01-05-madagascar-vanilla-extract,2026-07-03,King Arthur classic chocolate chip cookies recipe,recipe_page,Madagascar vanilla extract,vanilla extract
Bob's Red Mill,https://www.bobsredmill.com/products/baking-flour.html,cookie-demo-scrape-20260703T170850Z,Catalog listing,cookie-scrape-02-01-all-purpose-flour,2026-07-03,Bob's Red Mill flour product index,catalog_page,All-purpose flour,all purpose flour
Bob's Red Mill,https://www.bobsredmill.com/products/baking-flour.html,cookie-demo-scrape-20260703T170850Z,Catalog listing,cookie-scrape-02-02-almond-flour,2026-07-03,Bob's Red Mill flour product index,catalog_page,Almond flour,almond flour
Bob's Red Mill,https://www.bobsredmill.com/products/baking-flour.html,cookie-demo-scrape-20260703T170850Z,Catalog listing,cookie-scrape-02-03-rolled-oats,2026-07-03,Bob's Red Mill flour product index,catalog_page,Rolled oats,rolled oats
Nielsen-Massey Vanillas,https://www.nielsenmassey.com/products/madagascar-bourbon-pure-vanilla-extract/,cookie-demo-scrape-20260703T170850Z,Supplier profile,cookie-scrape-03-01-madagascar-vanilla-extract,2026-07-03,Nielsen-Massey vanilla extract product page,supplier_profile,Madagascar vanilla extract,madagascar bourbon pure vanilla extract
Guittard Chocolate Company,https://www.guittard.com/our-chocolate/detail/semisweet-chocolate-baking-chips,cookie-demo-scrape-20260703T170850Z,Ingredient spec sheet,cookie-scrape-04-01-semisweet-chocolate-chips,2026-07-03,Guittard semisweet baking chips page,ingredient_sheet,Semisweet chocolate chips,semisweet chocolate chips
Guittard Chocolate Company,https://www.guittard.com/our-chocolate/detail/semisweet-chocolate-baking-chips,cookie-demo-scrape-20260703T170850Z,Ingredient spec sheet,cookie-scrape-04-02-sea-salt,2026-07-03,Guittard semisweet baking chips page,ingredient_sheet,Sea salt,sea salt
